,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,"347.38","356.37","369.35","380.34","391.33","402.31","413.3","424.28","435.27","446.26","457.24","468.23","479.22","490.2"
1100,"390.28","402.3","414.32","426.33","438.35","450.37","462.39","474.4","486.42","498.44","510.46","522.47","534.49","546.51"
1350,"433.18","446.23","459.28","472.33","485.38","498.42","511.47","524.52","537.57","550.62","563.67","576.72","589.77","602.81"
1600,"476.08","490.16","504.24","518.32","532.4","546.48","560.56","574.64","588.72","602.8","616.88","630.96","645.04","659.12"
1850,"518.98","534.09","549.2","564.31","579.43","594.54","609.65","624.76","639.87","654.98","670.09","685.2","700.32","715.43"
2100,"561.88","578.02","594.17","610.31","626.45","642.59","658.74","674.88","691.02","707.16","723.31","739.45","755.59","771.73"
2350,"604.78","621.95","639.13","656.3","673.48","690.65","707.82","725","742.17","759.34","776.52","793.69","810.87","828.04"
2600,"647.68","665.89","684.09","702.3","720.5","738.71","756.91","775.12","793.32","811.53","829.73","847.94","866.14","884.35"
2850,"690.58","709.82","729.05","748.29","767.53","786.76","806","825.23","844.47","863.71","882.94","902.18","921.42","940.65"
3100,"733.48","753.75","774.02","794.28","814.55","834.82","855.09","875.35","895.62","915.89","936.16","956.42","976.69","996.96"
