,2000,2500,3000,3500,4000,4500,5000
3060,"1639.56","1919.93","2200.31","2480.68","2761.06","3041.43","3321.81"
3270,"1721.60","2018.53","2315.47","2612.39","2909.33","3206.27","3503.20"
4060,"2030.24","2389.46","2748.68","3107.90","3467.12","3826.34","4185.57"
5060,"2420.92","2858.99","3297.05","3735.12","4173.19","4611.26","5049.32"
5410,"2557.66","3023.32","3488.99","3954.65","4420.31","4885.97","5351.64"
6480,"2975.68","3525.71","4075.74","4625.77","5175.80","5725.83","6275.86"
7060,"3202.27","3798.04","4393.80","4989.56","5585.32","6181.08","6776.84"
8060,"3592.95","4267.57","4942.17","5616.77","6291.39","6965.99","7640.60"
