,2000,2500,3000,3500,4000,4500,5000
3060,"1756.96","2082.94","2408.93","2734.91","3060.03","3386.88","3712.87"
3270,"1848.44","2192.62","2536.79","2880.96","3225.14","3579.32","3913.49"
4060,"1991.59","2605.17","3017.78","3430.39","3843.03","4255.61","4668.22"
5060,"2628.16","3127.39","3626.63","4125.86","4625.10","5124.33","5623.57"
5410,"2780.62","3310.17","3839.72","4369.38","4898.84","5428.39","5957.94"
6480,"3246.71","3868.96","4491.20","5113.44","5735.68","6357.92","6980.17"
7060,"3499.36","4171.84","4844.33","5516.81","6189.30","6861.78","7534.27"
8060,"3934.96","4694.07","5453.18","6212.29","6971.40","7730.52","8489.63"
