,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
2000,"460.416","532.114","603.801","675.488","747.175","818.873","890.56","962.247","1033.945","1105.632","1177.319","1249.006"
2200,"488.477","563.497","638.528","713.559","788.59","863.621","938.652","1013.683","1088.714","1163.734","1238.765","1313.796"
2400,"516.527","594.891","673.266","751.63","830.005","908.369","986.744","1065.108","1143.483","1221.847","1300.222","1378.586"
2600,"544.577","626.285","707.993","789.701","871.409","953.117","1034.836","1116.544","1198.252","1279.96","1361.668","1443.376"
2800,"572.627","657.679","742.731","827.772","912.824","997.876","1082.917","1167.969","1253.021","1338.062","1423.114","1508.166"
