,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
400,"70.47","76.25","81.77","87.64","93.25","98.94","104.64","110.33","116.11","121.64","127.5","133.11","152.66","158.53","164.14","169.83","175.53","188.53","194.14"
500,0,"82.62","89.25","95.8","102.34","108.8","115.35","121.89","128.35","134.9","141.53","148.07","168.47","175.02","181.48","188.02","194.57","208.34","214.88"
600,0,0,"96.65","103.96","111.35","118.75","126.06","133.45","140.85","148.16","155.55","163.03","184.11","191.59","198.82","206.3","213.69","228.31","235.71"
700,0,0,0,"112.2","120.36","128.61","136.77","145.01","153.17","161.42","169.66","177.82","199.92","208.08","216.33","224.49","232.65","248.12","256.36"
800,0,0,0,0,"129.46","138.47","147.56","156.57","165.58","174.68","183.69","192.7","215.65","224.66","233.75","242.76","251.86","268.01","277.02"
900,0,0,0,0,0,"148.33","158.27","168.13","177.99","187.77","197.63","207.57","231.29","241.32","251.09","260.95","270.81","287.98","297.84"
1000,0,0,0,0,0,0,"253.98","179.69","190.32","201.03","211.74","222.45","247.1","257.81","268.52","279.23","289.94","307.87","318.58"
1100,0,0,0,0,0,0,0,"194.48","206.04","217.6","229.16","240.64","266.05","277.61","289.17","300.82","312.38","331.08","342.64"
1200,0,0,0,0,0,0,0,0,"218.45","230.86","243.19","255.51","281.86","294.27","306.51","319.09","331.33","435.88","363.29"
1300,0,0,0,0,0,0,0,0,0,"244.04","257.21","270.47","297.59","310.85","306.51","337.2","350.46","370.86","384.12"
1400,0,0,0,0,0,0,0,0,0,0,"274.72","288.66","316.63","324.02","344.68","358.79","372.9","394.06","408.17"
1500,0,0,0,0,0,0,0,0,0,0,0,"303.62","332.44","347.31","362.1","377.06","391.85","414.04","428.83"
