,2000,2500,3000,3500,4000,4500,5000
3060,"1742.47","2030.59","2318.71","2606.82","2894.94","3183.06","3471.17"
3270,"1823.55","2127.26","2430.97","2734.68","3038.39","3342.10","3645.82"
4060,"2128.57","2490.94","2853.31","3215.67","3578.04","3940.41","4302.77"
5060,"2514.67","2951.29","3387.91","3824.52","4261.14","4697.76","5134.37"
5410,"2649.81","3112.41","3575.02","4037.62","4500.23","4962.83","5425.43"
6480,"3062.93","3604.99","4147.04","4689.09","5231.14","5773.19","6315.25"
7060,"3286.87","3871.99","34457.11","5042.22","5627.34","6212.46","6797.57"
8060,"3672.97","4332.34","4991.71","5651.07","6310.44","6969.81","7629.17"
