,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,"308.11","317.46","326.81","336.16","345.51","354.86","364.21","373.56","382.91","392.26","401.61","410.96","420.31","429.66"
1100,"339.46","349.36","359.26","369.16","379.06","388.96","398.86","408.76","418.66","428.56","438.46","448.36","458.26","468.16"
1350,"370.81","381.26","391.71","402.16","412.61","423.06","433.51","443.96","454.41","464.86","475.31","485.76","496.21","506.66"
1600,"402.16","413.16","424.16","435.16","446.16","457.16","468.16","479.16","490.16","501.16","512.16","523.16","534.16","545.16"
1850,"433.51","445.06","456.61","468.16","479.71","491.26","502.81","514.36","525.91","537.46","549.01","560.56","572.11","583.66"
2100,"464.86","476.96","489.06","501.16","513.26","525.36","537.46","549.56","561.66","573.76","585.86","597.96","610.06","622.16"
2350,"496.21","508.86","521.51","534.16","546.81","559.46","572.11","584.76","597.41","610.06","622.71","635.36","648.01","660.66"
2600,"527.56","540.76","553.96","567.16","580.36","593.56","606.76","619.96","633.16","646.36","659.56","672.76","685.96","699.16"
2850,"558.91","572.66","586.41","600.16","613.91","627.66","641.41","655.16","668.91","682.66","696.41","710.16","723.91","737.66"
3100,"590.26","604.56","618.86","633.16","647.46","661.76","676.06","690.36","704.66","718.96","733.26","747.56","761.86","776.16"
