,2000,2500,3000,3500,4000,4500,5000
3060,"1469.83","1689.78","1909.74","2129.69","2349.65","2569.60","2789.56"
3270,"1532.20","1763.06","1993.93","2224.81","2455.68","2686.55","2917.41"
4060,"1766.83","2038.75","2310.69","2582.61","2854.55","3126.47","3398.41"
5060,"2063.83","2387.73","2711.64","3035.54","3359.45","3683.35","4007.26"
5410,"2167.78","2509.88","2851.97","3194.06","3536.16","3878.26","4220.35"
6480,"2485.57","2883.28","3100.99","3678.70","4076.41","4474.12","4871.83"
7060,"2657.83","3085.68","3513.54","3941.39","4369.25","4797.10","5224.96"
8060,"2954.83","3434.65","3914.49","4394.31","4874.15","5353.97","5833.81"
