,2000,2500,3000,3500,4000,4500,5000
3060,"1332.85","1552.80","1772.76","1992.71","2212.67","2342.62","2652.58"
3270,"1395.22","1626.08","1856.95","2087.83","2318.70","2539.57","2780.58"
4060,"1639.85","1901.77","2173.71","2445.63","2717.57","2989.49","3261.43"
5060,"1926.85","2250.75","2574.66","2898.56","3222.47","3546.37","3870.28"
5410,"2030.80","2372.90","2714.99","3057.08","3399.18","3741.28","4083.37"
6480,"2348.59","2746.30","2964.01","3541.72","3939.43","4337.14","4734.85"
7060,"2520.85","2948.70","3376.56","3804.41","4232.27","4660.12","5087.98"
8060,"2817.85","2197.67","3777.51","4257.33","4737.17","5216.99","5696.83"
