,800,825,850,875,900,925,950
850,"238.37","243.34","248.31","253.28","258.25","263.22","268.19"
1100,"277.42","283.04","288.67","294.29","299.92","305.54","311.16"
1350,"316.47","322.75","329.02","335.3","341.58","347.85","354.13"
1600,"355.52","362.45","369.38","376.31","383.24","390.17","397.1"
1850,"394.57","402.15","409.74","417.32","424.9","432.49","440.07"
2100,"433.62","441.86","450.09","458.33","466.57","474.8","483.04"
2350,"472.67","481.56","490.45","499.34","508.23","517.12","526.01"
2600,"511.72","521.26","530.81","540.35","549.89","559.43","568.98"
2850,"550.77","560.97","571.16","581.36","591.55","601.75","611.94"
3100,"589.82","600.67","611.52","622.37","633.22","644.06","654.91"
