"Email Address Confirmation", "Bevestig e-mailadres"
"Please re-enter your email address here. Make sure there are no spaces in or around the email address.", "Vul hier a.u.b. nogmaals uw e-mailadres in. Let op dat er geen spaties in of rondom het e-mailadres staan."
"The email addresses do not match.", "De e-mailadressen komen niet overeen."
