,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
200,"43,5","43,5","43,5","43,5","43,5","43,5","43,5","43,5","43,5","43,5","43,5","45.21","48.69","52.16","55.64","59.12","62.60","66.07","69.55","73.03","76.51","79.98","83.46","86.94"
300,"43,5","43,5","43,5","43,5","43,5","43,5","43,5","46.95","52.16","57.38","62.60","67.81","72.66","78.25","83.46","88.68","93.90","99.11","104.33","109.54","114.76","119.98","125.19","130.41"
400,"43,5","43,5","43,5","43,5","43.5","48.69","55.64","62.60","69.55","76.51","83.46","90.42","97.37","104.33","111.28","118.24","125.19","132.15","139.10","146.06","153.01","159.97","166.92","173.88"
500,"43,5","43,5","43,5","43,5","52.16","60.86","69.55","78.25","86.94","95.63","104.33","113.02","121.72","130.41","139.10","147.80","156.49","165.19","173.88","182.57","191.27","199.96","208.66","217.35"
600,"43.5","43.5","43.5","52.16","62.60","73.03","83.46","93.90","104.33","114.76","125.19","135.63","146.06","156.49","166.92","177.36","187.79","198.22","208.66","219.09","229.52","239.95","250.39","260.82"
700,"43.5","43.5","43.5","43.6","73.03","85.20","97.37","109.54","121.72","133.89","146.06","158..23","170.40","182.57","194.75","206.92","219.09","231.26","243.43","255.60","267.78","279.95","292.12","304.29"
800,"43.5","43.5","55.64","69.55","83.46","97.37","111.28","125.19","139.10","153.01","166.92","180.84","194.75","208.66","222.57","236.48","250.39","264.30","278.21","292.12","306.03","319.94","333.85","347.76"
900,"43.5","53.90","62.60","78.25","93.90","97.37","125.19","140.84","156.49","172.14","187.79","203.44","219.09","234.74","250.39","266.04","281.69","297.33","312.98","328.26","344.28","x","x","x"
