,3060,4060,5060,6060,7060,8060
2500,"1685.95","2078.51","2475.21","3016.53","3413.22","3809.92"
3000,"1756.2","2165.29","2581.51","3136.36","3545.45","3954.55"
3500,"1826.45","2252.07","2677.69","3252.07","3677.69","4103.31"
4000,"1900.83","2338.84","2780.99","3367.77","3805.78","4247.93"
