,2000,2500,3000,3500,4000,4500,5000
3060,"1605.49","1893.61","2181.73","2469.84","2757.96","3046.08","3334.19"
3270,"1686.57","1990.28","2293.99","2597.70","2901.41","3205.12","3508.83"
4060,"1991.59","2353.96","2716.33","3078.69","3441.06","3805.12","4165.79"
5060,"2377.69","2814.31","3250.93","3687.54","4124.16","4560.78","4997.39"
5410,"2512.83","2975.43","3438.04","3900.64","4363.25","4825.85","5288.45"
6480,"2925.95","3468.01","4010.06","4552.11","5094.16","5636.21","6178.72"
7060,"3149.89","3735.01","4320.13","4905.24","5490.36","6075.48","6660.59"
8060,"3535.99","4195.36","4854.73","5514.09","6173.46","6832.83","7492.19"
