,800,1000,1200,1400,1600,1800,2000
1200,409.64,475.77,541.9,608.03,674.16,740.29,806.41
1400,446.51,517.03,587.54,658.06,728.57,799.1,869.62
1600,483.38,558.28,633.19,708.09,783,857.91,932.81
1800,520.25,599.54,678.83,758.13,837.43,916.72,996.02
2000,557.12,640.79,724.48,808.17,891.85,975.54,1059.22
