,2000,2500,3000,3500,4000,4500,5000
3060,"1669.53","1981.06","2292.59","2604.11","2915.64","3227.17","3538.7"
3270,"1760.69","2090.61","2420.54","2750.46","3080.39","3410.32","3740.24"
4060,"2103.62","2502.75","2901.89","3301.02","3700.16","4099.29","4498.43"
5060,"2537.71","3024.45","3511.19","3997.93","4484.68","4971.42","5458.16"
5410,"2689.64","3207.04","3724.45","4241.85","4759.26","5276.66","5794.07"
6480,"3154.11","3765.26","4376.4","4987.54","5598.69","6209.83","6820.98"
7060,"3405.88","4067.84","4729.8","5391.75","6053.71","6715.67","7377.62"
8060,"3839.97","4589.54","5339.1","6088.66","6838.23","7587.79","8337.35"
