,2000,2500,3000,3500,4000,4500,5000
3060,"1502.58","1782.95","2063.33","2343.70","2624.08","2904.45","3184.83"
3270,"1584.64","1881.55","2178.49","2475.41","2772.35","3069.29","3366.22"
4060,"1893.26","2252.48","2611.70","2970.92","3330.14","3689.36","4048.59"
5060,"2283.94","2722.01","3160.07","3598.14","4036.21","4474.28","4912.34"
5410,"2420.68","2886.34","3352.01","3817.67","4283.33","4748.99","5214.66"
6480,"2838.70","3388.73","3938.76","4488.79","5038.82","5588.85","6138.88"
7060,"3065.27","3661.06","4256.82","4852.58","5448.34","6044.10","6639.86"
8060,"3455.97","4130.59","4805.19","5479.79","6154.41","6829.01","7503.62"
