,800,825,850,875,900,925,950
850,"266.26","271.24","276.21","281.19","286.16","291.14","296.11"
1100,"302.64","307.99","313.34","318.68","324.03","329.37","334.72"
1350,"339.03","344.75","350.46","356.18","361.89","367.62","373.33"
1600,"375.41","381.5","387.59","393.67","399.76","405.85","411.94"
1850,"411.79","418.26","424.71","431.18","437.63","444.1","450.55"
2100,"448.17","455","461.84","468.67","475.5","482.33","489.16"
2350,"484.56","491.76","498.96","506.17","513.36","520.57","527.77"
2600,"520.94","528.51","536.09","543.66","551.23","558.81","566.38"
2850,"557.32","565.27","573.21","581.16","589.1","597.05","604.99"
3100,"593.7","602.02","610.34","618.65","626.97","635.28","643.6"
