,2000,2500,3000,3500,4000,4500,5000
3060,"1078.46","1252.81","1427.16","1601.50","1775.84","1950.19","2124.54"
3270,"1131.40","1315.03","1498.65","1682.28","1865.91","2049.53","2233.16"
4060,"1330.54","1549.08","1767.63","1986.17","2204.71","2423.25","2641.80"
5060,"1582.62","1845.36","2108.10","2370.83","2633.58","2896.32","3159.05"
5410,"1670.85","1949.06","2227.27","2505.47","2783.68","3061.89","3340.10"
6480,"1940.85","2266.07","2591.57","2917.06","3242.57","3568.06","3893.56"
7060,"2086.78","2437.91","2789.05","3140.17","3491.31","3842.44","4193.57"
8060,"2338.86","2725.19","3129.52","3524.84","3920.18","4315.50","4710.83"
