,2000,2500,3000,3500,4000,4500,5000
3060,981.95,1149.95,1305.45,1489.95,1657.95,1953.95,2159.45
3270,1003.45,1176.95,1337.95,1527.95,1701.45,2002.95,2213.45
4060,1207.95,1411.95,1611.45,1839.95,2052.45,2424.95,2678.95
5060,1495.95,1743.45,1991.95,2268.95,2512.45,2966.95,3281.45
5410,1572.45,1838.95,2105.95,2401.95,2664.95,3138.45,3471.45
6480,1833.95,2138.95,2451.45,2776.95,3102.45,3634.45,4013.45
7060,2004.45,2342.45,2688.45,3071.95,3409.45,4007.95,4931.95
8060,2217.95,2591.45,2973.95,3400.95,3779.45,4483.45,4931.95
