,2000,2500,3000,3500,4000,4500,5000
3060,"1351.11","1593.61","1836.13","2078.63","2321.14","2563.64","2806.16"
3270,"1422.76","1679.22","1935.68","2194.26","2448.62","2705.09","2961.56"
4060,"1692.29","2001.27","2310.25","2619.23","2928.20","3237.18","3546.16"
5060,"2033.47","2408.91","2784.37","3159.82","3535.27","3910.72","4286.17"
5410,"2152.88","2551.59","2950.31","3349.03","3747.74","4146.45","4545.17"
6480,"2517.94","2987.78","3457.62","3927.40","4397.30","4867.14","5336.98"
7060,"2715.82","3224.21","3732.62","4241.01","4749.40","5257.79","5766.18"
8060,"3057.00","3631.87","4206.73","4781.60","5356.47","5931.32","6506.19"
