,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
400,"55.17","57.63","60.01","62.39","64.77","67.24","69.62",72,"74.46","76.84","79.22","81.6","97.92","100.39","102.85","105.23","107.61","117.22","119.68"
500,0,"60.1","62.65","65.2","67.83","70.38","72.93","75.48","78.03","80.58","83.13","85.68","102.17","104.72","107.27","109.82","112.37","122.15","124.7"
600,0,0,"65.45","68.09","70.81","73.53","76.25","78.88","81.6","84.32","87.04","89.76","106.34","109.06","111.69","114.41","117.13","127.08","70.98"
700,0,0,0,"70.98","73.78","76.67","79.48","82.37","85.17","88.06","90.95","93.76","110.5","113.39","116.2","119.09","121.89","131.92","134.81"
800,0,0,0,0,"76.76","79.73","82.79","85.77","88.83","91.8","94.78","97.84","114.67","117.64","120.62","123.68","126.65","136.94","139.91"
900,0,0,0,0,0,"82.88","86.02","89.25","92.4","95.54","98.69","101.83","118.83","121.98","125.12","128.27","131.41","141.78","144.93"
1000,0,0,0,0,0,0,"89.42","92.65","95.97","99.28","102.6","105.83","123","126.31","129.63","132.86","136.17","146.71","150.03"
1100,0,0,0,0,0,0,0,"99.45","102.94","106.34","109.74","113.14","130.56","133.96","137.45","140.85","144.33","154.96","158.44"
1200,0,0,0,0,0,0,0,0,"106.51","110.08","113.65","117.22","134.73","138.3","141.87","145.44","149.09","159.89","163.37"
1300,0,0,0,0,0,0,0,0,0,"113.82","117.56","121.3","138.89","142.63","146.29","150.03","153.77","164.73","168.73"
1400,0,0,0,0,0,0,0,0,0,0,"124.7","128.61","146.37","150.28","154.36","160.72","161.93","173.06","176.89"
1500,0,0,0,0,0,0,0,0,0,0,0,"132.69","150.62","154.62","158.61","162.69","143.74","177.91","181.9"
