,3060,4060,5060,6060,7060,8060
5000,"2351.21","2863.64","3376.03","4107.44","4619.84","5128.1"
6000,"2495.87","3037.19","3578.51","4338.84","4880.17","5421.49"
7000,"2640.5","3210.74","3780.99","4574.38","5144.63","5714.88"
8000,"2785.12","3384.3","3983.47","4805.79","5409.09","6008.26"
