,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
200,"148.42","148.43","148.44","148.45","148.46","148.47","148.48","148.49","148.50","148.51","148.52","148.53","148.54","148.55","148.56","148.57","148.58","148.59","148.60","148.61","148.62","148.63","148.64"
300,"148.43","148.44","148.45","148.46","148.47","148.48","148.49","148.50","148.51","148.52","148.53","148.54","148.55","148.56","148.57","151.50","160.41","169.32","178.23","187.14","196.05","204.96","213.88"
400,"148.44","148.45","148.46","148.47","148.48","148.49","148.50","148.51","148.52","148.53","148.54","154.47","166.35","178.23","190.11","201.99","213.88","225.76","237.64","249.52","261.40","297.29","285.17"
500,"148.45","148.46","148.47","148.48","148.49","148.50","148.51","148.52","148.53","163.38","178.23","193.08","207.94","222.79","237.64","252.49","267.35","282.20","297.05","311.90","326.76","341.61","356.46"
600,"148.46","148.47","148.48","148.49","148.50","148.51","148.52","160.41","178.23","196.05","213.88","231.70","249.52","267.30","285.17","303.45","320.81","338.64","356.46","0","0","0","0"
700,"148.47","148.48","148.49","148.50","148.51","148.52","166.35","187.14","207.94","228.73","249.52","270.32","291.11","311.90","332.70","353.49","0","0","0","0","0","0","0"
