,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
3500,"806.179","934.527","1062.886","1191.234","1319.582","1447.941","1576.289","1704.648","1832.996","1961.344","2089.703","2218.051"
3700,"837.793","970.376","1102.959","1235.542","1368.125","1500.708","1633.291","1765.874","1898.446","2031.029","2163.612","2296.195"
3900,"869.407","1006.225","1143.032","1279.85","1416.657","1553.475","1690.282","1827.1","1963.907","2100.725","2237.532","2374.339"
4100,"901.021","1042.063","1183.105","1324.147","1465.189","1606.231","1747.284","1888.326","2029.368","2170.41","2311.452","2452.494"
4300,"932.635","1077.912","1223.189","1368.455","1513.732","1658.998","1804.275","1949.552","2094.818","2240.095","2385.361","2530.638"
4500,"964.249","1113.761","1263.262","1412.763","1562.264","1711.765","1861.266","2010.778","2160.279","2309.78","2459.281","2608.782"
