,2000,2500,3000,3500,4000,4500,5000
3060,1237.95,1401.95,1561.95,1733.45,1901.45,2222.45,2423.95
3270,1259.95,1428.95,1594.45,1771.45,1944.95,2271.45,2423.95
4060,1480.45,1692.95,1892.45,2112.95,2324.95,2718.45,2976.45
5060,1884.45,2136.45,2380.45,2652.95,2900.95,3380.45,3694.45
5410,1960.95,2231.45,2494.45,2785.95,3053.45,3551.95,3884.45
6480,2230.95,2535.45,2848.45,3194.45,3507.45,4067.95,4447.45
7060,2429.95,2767.95,3113.95,3489.45,3822.95,4466.95,4886.95
8060,2680.95,3054.45,3444.95,3871.95,4254.45,4954.45,5427.45
