,2000,2500,3000,3500,4000,4500,5000
3060,"1215.44","1389.79","1564.14","1738.48","1912.82","2087.17","2261.52"
3270,"1268.38","1452.01","1635.63","1819.26","2002.89","2186.51","2370.14"
4060,"1467.52","1686.02","1904.61","2123.15","2341.69","2560.23","2778.78"
5060,"1719.60","1982.34","2245.08","2507.81","2770.56","3033.30","3296.03"
5410,"1807.83","2086.04","2364.25","2642.45","2920.66","3198.87","3477.08"
6480,"2077.55","2403.05","2728.55","3054.04","3379.55","3705.04","4030.54"
7060,"2223.76","2574.89","2926.03","3277.15","3628.29","3979.42","4330.55"
8060,"2475.84","2862.17","3266.50","3661.82","4057.16","4452.48","4847.81"
