,2000,2500,3000,3500,4000,4500,5000
3060,1448.95,1665.95,1878.45,2102.95,2323.95,2697.45,2951.45
3270,1485.45,1710.95,1932.95,2166.95,2396.45,2778.95,3041.95
4060,1760.95,2042.95,2312.45,2602.95,2885.45,3348.95,3676.45
5060,2233.45,2572.45,2903.95,3263.95,3598.95,4165.95,4567.45
5410,2333.95,2697.95,3054.45,3439.45,3799.95,4391.45,4817.95
6480,2677.95,3094.95,3518.95,3976.95,4401.95,5073.95,5564.95
7060,2916.95,3376.95,3844.95,4341.95,4796.95,5562.95,6104.95
8060,3236.95,3749.45,4278.95,4845.45,5366.95,6205.95,6817.95
