,2000,2500,3000,3500,4000,4500,5000
3060,"1488.09","1730.59","1973.11","2215.61","2458.12","2700.62","2943.14"
3270,"1559.74","1816.20","2072.66","2329.14","2585.60","2842.07","3098.54"
4060,"1829.27","2138.25","2447.23","2756.21","3065.18","3374.16","3683.14"
5060,"2170.45","2545.89","2921.35","3296.80","3672.25","4047.70","4423.15"
5410,"2289.86","2688.57","3087.29","3486.01","3884.72","4283.43","4682.15"
6480,"2654.92","3124.76","3594.60","4064.44","4534.28","5004.12","5473.96"
7060,"2852.80","3361.19","3869.60","4377.99","4886.38","5394.77","5903.16"
8060,"3193.98","3768.85","4343.71","4958.58","5493.45","6068.30","6643.17"
