,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000
4000,"837.94","971.52","1105.1","1238.69","1372.27","1505.86","1639.44","1773.02","1906.61","2040.19","2173.78","2307.36"
4250,"873.86","1012.26","1150.64","1289.04","1427.43","1565.82","1704.21","1842.6","1980.99","2119.39","2257.77","2396.17"
4500,"909.79","1052.99","1196.18","1339.38","1482.58","1625.78","1768.98","1912.17","2055.37","2198.57","2341.77","2484.97"
4750,"945.71","1093.72","1241.72","1389.73","1537.73","1685.74","1833.74","1981.75","2129.75","2277.76","2425.76","2573.77"
5000,"981.64","1134.45","1287.26","1440.08","1592.89","1745.7","1898.51","2051.32","2204.14","2356.95","2509.76","2662.57"
5250,"1017.57","1175.19","1332.8","1490.43","1648.04","1805.67","1963.28","2120.9","2278.52","2436.14","2593.76","2751.38"
